file,title,doi,year,year_bucket,phases,challenges,datasets,has_metrics,has_novelty,has_coding_task
automated_ICD_coding_merged_filtered_type_filtered_content_filtered_methodology_filtered.ris,A Deep Learning Framework for Automated ICD-10 Coding.,10.3233/SHTI210178,2021,2020_2022,,MAPPING_INTEROP,,True,False,True
automated_ICD_coding_merged_filtered_type_filtered_content_filtered_methodology_filtered.ris,Comparison of different feature extraction methods for applicable automated ICD ...,10.1186/s12911-022-01753-5,2022,2020_2022,TRANSFORMER,,,True,False,True
automated_ICD_coding_merged_filtered_type_filtered_content_filtered_methodology_filtered.ris,Retrieve and rerank for automated ICD coding via Contrastive Learning.,10.1016/j.jbi.2023.104396,2023,2023_plus,TRANSFORMER,EXTREME_MULTILABEL,MIMIC,True,True,True
automated_ICD_coding_merged_filtered_type_filtered_content_filtered_methodology_filtered.ris,Hyperbolic graph convolutional neural network with contrastive learning for auto...,10.1016/j.compbiomed.2023.107797,2024,2023_plus,DEEP_CNN_RNN,HIERARCHY|RARE_LABELS,MIMIC,False,True,True
automated_ICD_coding_merged_filtered_type_filtered_content_filtered_methodology_filtered.ris,Learning from undercoded clinical records for automated International Classifica...,10.1093/jamia/ocac230,2023,2023_plus,,,,False,False,False
automated_ICD_coding_merged_filtered_type_filtered_content_filtered_methodology_filtered.ris,Automated ICD10-Coding of Teleconsultations Conclusions in Primary Care.,10.3233/SHTI230758,2023,2023_plus,,,,False,False,False
automated_ICD_coding_merged_filtered_type_filtered_content_filtered_methodology_filtered.ris,Automated Diagnosis Coding with Combined Text Representations.,,2017,2017_2019,,MAPPING_INTEROP,MIMIC,False,False,True
automated_ICD_coding_merged_filtered_type_filtered_content_filtered_methodology_filtered.ris,Construction of a semi-automated ICD-10 coding help system to optimize medical a...,,2006,pre2012,,MAPPING_INTEROP|KNOWLEDGE_AUG,,True,True,False
automated_ICD_coding_merged_filtered_type_filtered_content_filtered_methodology_filtered.ris,"Combining deep neural networks, a rule-based expert system and targeted manual c...",10.1016/j.ijmedinf.2024.105462,2024,2023_plus,RULE_BASED,MAPPING_INTEROP,,True,False,True
automated_ICD_coding_merged_filtered_type_filtered_content_filtered_methodology_filtered.ris,Construction of a semi-automatic ICD-10 coding system.,10.1186/s12911-020-1085-4,2020,2020_2022,,MAPPING_INTEROP,,True,True,True
automated_ICD_coding_merged_filtered_type_filtered_content_filtered_methodology_filtered.ris,Transformer-based models for ICD-10 coding of death certificates with Portuguese...,10.1016/j.jbi.2022.104232,2022,2020_2022,TRANSFORMER,RARE_LABELS|MAPPING_INTEROP,,False,True,False
automated_ICD_coding_merged_filtered_type_filtered_content_filtered_methodology_filtered.ris,Implementation and Evaluation of ICD-10 Artificial Intelligence Coding Assistanc...,10.3233/SHTI250807,2025,2023_plus,,MAPPING_INTEROP,,False,False,True
automated_ICD_coding_merged_filtered_type_filtered_content_filtered_methodology_filtered.ris,Preliminary Validation of a Rule-Based System for Mortality Coding Using ICD-11.,10.3233/SHTI220555,2022,2020_2022,RULE_BASED,MAPPING_INTEROP,,False,True,False
automated_ICD_coding_merged_filtered_type_filtered_content_filtered_methodology_filtered.ris,Deep neural models for ICD-10 coding of death certificates and autopsy reports i...,10.1016/j.jbi.2018.02.011,2018,2017_2019,,HIERARCHY|MAPPING_INTEROP,,True,False,True
automated_ICD_coding_merged_filtered_type_filtered_content_filtered_methodology_filtered.ris,How to leverage large language models for automatic ICD coding.,10.1016/j.compbiomed.2025.109971,2025,2023_plus,DEEP_CNN_RNN,RARE_LABELS,MIMIC,True,True,True
automated_ICD_coding_merged_filtered_type_filtered_content_filtered_methodology_filtered.ris,Reformatted Crosswalk-Tables Between Annual ICD-10-Versions for Cross Version Da...,10.3233/SHTI240652,2024,2023_plus,,MAPPING_INTEROP,,False,True,True
automated_ICD_coding_merged_filtered_type_filtered_content_filtered_methodology_filtered.ris,Retrieval-Augmented Generation for ICD-10 Coding in German Clinical Texts - A Te...,10.3233/SHTI251397,2025,2023_plus,LLM_RAG_XAI|TRANSFORMER,RARE_LABELS|MAPPING_INTEROP,,True,False,True
automated_ICD_coding_merged_filtered_type_filtered_content_filtered_methodology_filtered.ris,Challenges of Integrating ICD 11 into Automatic Alerting Systems.,10.3233/SHTI240395,2024,2023_plus,,MAPPING_INTEROP,,False,False,False
automated_ICD_coding_merged_filtered_type_filtered_content_filtered_methodology_filtered.ris,A cross-lingual approach to automatic ICD-10 coding of death certificates by exp...,10.1016/j.jbi.2019.103207,2019,2017_2019,,MAPPING_INTEROP,,False,False,False
automated_ICD_coding_merged_filtered_type_filtered_content_filtered_methodology_filtered.ris,Enabling phenotypic big data with PheNorm.,10.1093/jamia/ocx111,2018,2017_2019,,MAPPING_INTEROP,,True,True,False
automated_ICD_coding_merged_filtered_type_filtered_content_filtered_methodology_filtered.ris,Assigning Clinical Codes with Semi-Automated Medical Language Processing.,10.3233/SHTI250754,2025,2023_plus,,MAPPING_INTEROP,,True,True,True
automated_ICD_coding_merged_filtered_type_filtered_content_filtered_methodology_filtered.ris,High-throughput multimodal automated phenotyping (MAP) with application to PheWA...,10.1093/jamia/ocz066,2019,2017_2019,,MAPPING_INTEROP,,True,False,False
automated_ICD_coding_merged_filtered_type_filtered_content_filtered_methodology_filtered.ris,Secondary Use of Clinical Problem List Entries for Neural Network-Based Disease ...,10.3233/SHTI230267,2023,2023_plus,TRANSFORMER|DEEP_CNN_RNN,MAPPING_INTEROP,,True,False,True
automated_ICD_coding_merged_filtered_type_filtered_content_filtered_methodology_filtered.ris,Development and external validation of tools for categorizing diagnosis codes in...,10.1016/j.ijmedinf.2024.105508,2024,2023_plus,,MAPPING_INTEROP,,True,False,False
automated_ICD_coding_merged_filtered_type_filtered_content_filtered_methodology_filtered.ris,Diagnosis code assignment: models and evaluation metrics.,10.1136/amiajnl-2013-002159,2014,2012_2016,CLASSICAL_ML,HIERARCHY,MIMIC,True,True,True
automated_ICD_coding_merged_filtered_type_filtered_content_filtered_methodology_filtered.ris,A study of entity-linking methods for normalizing Chinese diagnosis and procedur...,10.1016/j.jbi.2020.103418,2020,2020_2022,TRANSFORMER|DEEP_CNN_RNN|CLASSICAL_ML,MAPPING_INTEROP,,True,False,True
automated_ICD_coding_merged_filtered_type_filtered_content_filtered_methodology_filtered.ris,Development of a Method for Automatic Matching of Unstructured Medical Data to I...,10.3233/SHTI240065,2024,2023_plus,CLASSICAL_ML,MAPPING_INTEROP,,True,False,True
automated_ICD_coding_merged_filtered_type_filtered_content_filtered_methodology_filtered.ris,POPDx: an automated framework for patient phenotyping across 392 246 individuals...,10.1093/jamia/ocac226,2023,2023_plus,,MAPPING_INTEROP,,False,False,False
automated_ICD_coding_merged_filtered_type_filtered_content_filtered_methodology_filtered.ris,Automated Classification of Pathology Reports.,,2015,2012_2016,CLASSICAL_ML,,,True,False,True
automated_ICD_coding_merged_filtered_type_filtered_content_filtered_methodology_filtered.ris,Infusing clinical knowledge into language models by subword optimisation and emb...,10.1016/j.compbiomed.2025.110747,2025,2023_plus,TRANSFORMER,KNOWLEDGE_AUG,,False,True,True
automated_ICD_coding_merged_filtered_type_filtered_content_filtered_methodology_filtered.ris,Using SNOMED-CT to Help the Transition from Microbiological Data to ICD-10 Sepsi...,10.3233/SHTI190556,2019,2017_2019,,MAPPING_INTEROP|KNOWLEDGE_AUG,,False,False,False
automated_ICD_coding_merged_filtered_type_filtered_content_filtered_methodology_filtered.ris,Automatic ICD code assignment of Chinese clinical notes based on multilayer atte...,10.1016/j.jbi.2019.103114,2019,2017_2019,DEEP_CNN_RNN,HIERARCHY|LONG_TEXT|MAPPING_INTEROP,,True,True,True
automated_ICD_coding_merged_filtered_type_filtered_content_filtered_methodology_filtered.ris,Automated grouping of medical codes via multiview banded spectral clustering.,10.1016/j.jbi.2019.103322,2019,2017_2019,,HIERARCHY|MAPPING_INTEROP,,False,True,False
automated_ICD_coding_merged_filtered_type_filtered_content_filtered_methodology_filtered.ris,A bootstrapping algorithm to improve cohort identification using structured data...,10.1016/j.jbi.2011.10.013,2011,pre2012,,MAPPING_INTEROP,,False,True,False
automated_ICD_coding_merged_filtered_type_filtered_content_filtered_methodology_filtered.ris,Automated classification of cancer morphology from Italian pathology reports usi...,10.1016/j.jbi.2021.103712,2021,2020_2022,RULE_BASED,,,False,True,False
automated_ICD_coding_merged_filtered_type_filtered_content_filtered_methodology_filtered.ris,Automated detection of altered mental status in emergency department clinical no...,10.1186/s12911-019-0894-9,2019,2017_2019,DEEP_CNN_RNN,,,True,True,False
automated_ICD_coding_merged_filtered_type_filtered_content_filtered_methodology_filtered.ris,Clinical decision support tool for Co-management signalling.,10.1016/j.ijmedinf.2018.02.014,2018,2017_2019,CLASSICAL_ML,MAPPING_INTEROP,,True,False,False
automated_ICD_coding_merged_filtered_type_filtered_content_filtered_methodology_filtered.ris,Automated derivation of diagnostic criteria for lung cancer using natural langua...,10.1186/s12911-024-02790-y,2024,2023_plus,,HIERARCHY|MAPPING_INTEROP|KNOWLEDGE_AUG,,True,False,True
automated_ICD_coding_merged_filtered_type_filtered_content_filtered_methodology_filtered.ris,Predicting Diagnosis Code from Medication List of an Electronic Medical Record U...,10.3233/SHTI200439,2020,2020_2022,DEEP_CNN_RNN,MAPPING_INTEROP,,True,False,False
